"name" "left" "right" "strand" "number" "genes"
"411" "entCEBAH" 624885 629713 "forward" 5 "entC,entE,entB,entA,entH"
"412" "entS" 622300 623550 "forward" 1 "entS"
"413" "envR" 3412803 3413465 "reverse" 1 "envR"
"414" "envY-ompT" 584680 586908 "reverse" 2 "envY,ompT"
"415" "epd-pgk-fbaA" 3070165 3073691 "reverse" 3 "epd,pgk,fbaA"
"416" "epmA" 4382643 4383620 "forward" 1 "epmA"
"417" "epmB" 4374629 4375657 "reverse" 1 "epmB"
"418" "eptA" 4333947 4335590 "reverse" 1 "eptA"
"419" "eptB" 3708784 3710475 "reverse" 1 "eptB"
"420" "eptC" 4148532 4150265 "reverse" 1 "eptC"
"421" "erpA" 176610 176954 "forward" 1 "erpA"
"422" "esrE" 4019978 4020229 "forward" 1 "esrE"
"423" "essD-rrrD-rzpD" 577398 578568 "forward" 3 "essD,rrrD,rzpD"
"424" "essQ-ydfR-rrrQ-ydfP" 1639030 1640585 "reverse" 4 "essQ,ydfR,rrrQ,ydfP"
"425" "ettA" 4628855 4630522 "reverse" 1 "ettA"
"426" "eutBCLKR" 2554130 2558679 "reverse" 5 "eutB,eutC,eutL,eutK,eutR"
"427" "eutHA" 2565481 2568107 "reverse" 2 "eutH,eutA"
"428" "eutNEJG" 2568324 2572050 "reverse" 4 "eutN,eutE,eutJ,eutG"
"429" "eutSPQTDM" 2572157 2575805 "reverse" 6 "eutS,eutP,eutQ,eutT,eutD,eutM"
"430" "evgAS" 2483755 2487967 "forward" 2 "evgA,evgS"
"431" "exbBD" 3150818 3151984 "reverse" 2 "exbB,exbD"
"432" "exuR" 3246652 3247428 "forward" 1 "exuR"
"433" "exuT" 3245224 3246522 "forward" 1 "exuT"
"434" "fabA" 1015952 1016470 "reverse" 1 "fabA"
"435" "fabB" 2440385 2441605 "reverse" 1 "fabB"
"436" "fabI" 1350251 1351039 "reverse" 1 "fabI"
"437" "fabR-yijD" 4161067 4162130 "forward" 2 "fabR,yijD"
"438" "fadBA" 4027609 4030971 "reverse" 2 "fadB,fadA"
"439" "fadD-sroD" 1888017 1889746 "reverse" 2 "fadD,sroD"
"440" "fadE" 240859 243303 "reverse" 1 "fadE"
"441" "fadH" 3231665 3233683 "forward" 1 "fadH"
"442" "fadIJ" 2457015 2460469 "reverse" 2 "fadI,fadJ"
"443" "fadL" 2461306 2462646 "forward" 1 "fadL"
"444" "fadM" 464402 464800 "forward" 1 "fadM"
"445" "fadR" 1234938 1235657 "forward" 1 "fadR"
"446" "fbaB" 2177512 2178564 "reverse" 1 "fbaB"
"447" "fbp" 4454611 4455609 "reverse" 1 "fbp"
"448" "fdhD" 4086016 4086849 "forward" 1 "fdhD"
"449" "fdhF" 4297219 4299366 "reverse" 1 "fdhF"
"450" "fdnGHI" 1547401 1551991 "forward" 3 "fdnG,fdnH,fdnI"
"451" "fdoGHI-fdhE" 4080299 4085822 "reverse" 4 "fdoG,fdoH,fdoI,fdhE"
"452" "fdrA-ylbEF-ybcF" 546680 551332 "forward" 4 "fdrA,ylbE,ylbF,ybcF"
"453" "feaB" 1447519 1449018 "forward" 1 "feaB"
"454" "feaR" 1446378 1447283 "reverse" 1 "feaR"
"455" "fecABCDE" 4510690 4516677 "reverse" 5 "fecA,fecB,fecC,fecD,fecE"
"456" "fecIR" 4516764 4518235 "reverse" 2 "fecI,fecR"
"457" "feoABC" 3540163 3542964 "forward" 3 "feoA,feoB,feoC"
"458" "fepA-entD" 609459 612494 "reverse" 2 "fepA,entD"
"459" "fepB" 623554 624510 "reverse" 1 "fepB"
"460" "fepDGC" 619384 622189 "reverse" 3 "fepD,fepG,fepC"
"461" "fes-ybdZ-entF-fepE" 612737 619387 "forward" 4 "fes,ybdZ,entF,fepE"
"462" "fetAB" 515919 517362 "forward" 2 "fetA,fetB"
"463" "ffh" 2746434 2747795 "reverse" 1 "ffh"
"464" "ffs" 476448 476561 "forward" 1 "ffs"
"465" "fhuACDB" 167484 173444 "forward" 4 "fhuA,fhuC,fhuD,fhuB"
"466" "fhuE" 1159362 1161551 "reverse" 1 "fhuE"
"467" "fhuF" 4604875 4605663 "reverse" 1 "fhuF"
"468" "fieF" 4106469 4107371 "forward" 1 "fieF"
"469" "fimAICDFGH" 4543115 4549710 "forward" 7 "fimA,fimI,fimC,fimD,fimF,fimG,fimH"
"470" "fimB" 4540957 4541559 "forward" 1 "fimB"
"471" "fimE" 4542037 4542633 "forward" 1 "fimE"
"472" "fimZ" 563848 564480 "reverse" 1 "fimZ"
"473" "fiu" 839249 841531 "reverse" 1 "fiu"
"474" "fixABCX" 42403 45750 "forward" 4 "fixA,fixB,fixC,fixX"
"475" "fklB" 4428935 4429555 "forward" 1 "fklB"
"476" "fkpA" 3476607 3477419 "reverse" 1 "fkpA"
"477" "fldA-uof-fur" 710200 711465 "reverse" 3 "fldA,uof,fur"
"478" "fldB" 3039855 3040376 "forward" 1 "fldB"
"479" "flgAMN" 1129414 1130863 "reverse" 3 "flgA,flgM,flgN"
"480" "flgBCDEFGHIJ" 1131018 1138312 "forward" 9 "flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ"
"481" "flgKL" 1138378 1140986 "forward" 2 "flgK,flgL"
"482" "flhBAE" 1962580 1966191 "reverse" 3 "flhB,flhA,flhE"
"483" "flhDC" 1977266 1978197 "reverse" 2 "flhD,flhC"
"484" "fliAZ-tcyJ" 1999585 2001789 "reverse" 3 "fliA,fliZ,tcyJ"
"485" "fliC" 2002110 2003606 "reverse" 1 "fliC"
"486" "fliDST" 2003872 2006078 "forward" 3 "fliD,fliS,fliT"
"487" "fliE" 2012700 2013014 "reverse" 1 "fliE"
"488" "fliFGHIJK" 2013229 2019513 "forward" 6 "fliF,fliG,fliH,fliI,fliJ,fliK"
"489" "fliLMNOPQR" 2019618 2023678 "forward" 7 "fliL,fliM,fliN,fliO,fliP,fliQ,fliR"
"490" "flk" 2437950 2438945 "forward" 1 "flk"
"491" "flxA" 1646405 1646737 "forward" 1 "flxA"
"492" "fnr" 1398774 1399526 "reverse" 1 "fnr"
"493" "fnrS" 1409129 1409247 "forward" 1 "fnrS"
"494" "focA-pflB" 951272 954466 "reverse" 2 "focA,pflB"
"495" "folA" 49823 50302 "forward" 1 "folA"
"496" "folB" 3204221 3204589 "reverse" 1 "folB"
"497" "folC-dedD" 2431022 2432942 "reverse" 2 "folC,dedD"
"498" "folD-ybcJ" 556661 557741 "reverse" 2 "folD,ybcJ"
"499" "folE-yeiB" 2241810 2243652 "reverse" 2 "folE,yeiB"
"500" "folP-glmM" 3322733 3324911 "reverse" 2 "folP,glmM"
"501" "folX-yfcH" 2421325 2422601 "forward" 2 "folX,yfcH"
"502" "fpr" 4113726 4114472 "reverse" 1 "fpr"
"503" "frdABCD" 4379007 4382318 "reverse" 4 "frdA,frdB,frdC,frdD"
"504" "fre" 4026527 4027228 "forward" 1 "fre"
"505" "frlABCDR" 3499910 3504783 "forward" 5 "frlA,frlB,frlC,frlD,frlR"
"506" "frmRAB" 377535 379881 "reverse" 3 "frmR,frmA,frmB"
"507" "frr" 192872 193429 "forward" 1 "frr"
"508" "frsA" 256527 257771 "forward" 1 "frsA"
"509" "fruBKA" 2259719 2263495 "reverse" 3 "fruB,fruK,fruA"
"510" "frvABXR" 4088107 4092823 "reverse" 4 "frvA,frvB,frvX,frvR"
"511" "frwCB" 4142530 4143944 "forward" 2 "frwC,frwB"
"512" "frwD" 4147138 4147479 "forward" 1 "frwD"
"513" "fryBC-ypdFE-fryA" 2501990 2508242 "reverse" 5 "fryB,fryC,ypdF,ypdE,fryA"
"514" "fsaA" 863642 864304 "forward" 1 "fsaA"
"515" "fsr" 503476 504696 "reverse" 1 "fsr"
"516" "ftnA" 1988716 1989213 "forward" 1 "ftnA"
"517" "ftnB" 1986925 1987428 "forward" 1 "ftnB"
"518" "ftp" 2310479 2311534 "reverse" 1 "ftp"
"519" "ftsB" 2872509 2872820 "reverse" 1 "ftsB"
"520" "ftsK" 933224 937213 "forward" 1 "ftsK"
"521" "ftsP" 3161257 3162669 "reverse" 1 "ftsP"
"522" "ftsYEX" 3601028 3604243 "reverse" 3 "ftsY,ftsE,ftsX"
"523" "fucAO" 2931865 2933688 "reverse" 2 "fucA,fucO"
"524" "fucPIKUR" 2934235 2940099 "forward" 5 "fucP,fucI,fucK,fucU,fucR"
"525" "fumAC" 1685185 1688377 "reverse" 2 "fumA,fumC"
"526" "fxsA" 4368664 4369140 "forward" 1 "fxsA"
"527" "gadAXW" 3663890 3667580 "reverse" 3 "gadA,gadX,gadW"
"528" "gadBC" 1568954 1572045 "reverse" 2 "gadB,gadC"
"529" "gadE-mdtEF" 3658366 3663527 "forward" 3 "gadE,mdtE,mdtF"
"530" "gadY" 3664864 3664968 "forward" 1 "gadY"
"531" "galETKM" 787797 792055 "reverse" 4 "galE,galT,galK,galM"
"532" "galF" 2113434 2114327 "reverse" 1 "galF"
"533" "galP" 3088284 3089678 "forward" 1 "galP"
"534" "galR" 2976599 2977630 "forward" 1 "galR"
"535" "galS" 2240628 2241668 "reverse" 1 "galS"
"536" "galU" 1291457 1292365 "forward" 1 "galU"
"537" "gapA-yeaD" 1862771 1864734 "forward" 2 "gapA,yeaD"
"538" "gapC_1C_2" 1489713 1490713 "reverse" 2 "gapC_1,gapC_2"
"539" "garD" 3275282 3276853 "forward" 1 "garD"
"540" "garPLRK-rnpB" 3270216 3274907 "reverse" 5 "garP,garL,garR,garK,rnpB"
"541" "gatR_1" 2169693 2170139 "reverse" 1 "gatR_1"
"542" "gatR_2" 2171395 2171733 "reverse" 1 "gatR_2"
"543" "gatYZABCD" 2171833 2177204 "reverse" 6 "gatY,gatZ,gatA,gatB,gatC,gatD"
"544" "gcd" 138835 141225 "reverse" 1 "gcd"
"545" "gcl-hyi-glxR-ybbW-allB-ybbY-glxK" 533916 543033 "forward" 7 "gcl,hyi,glxR,ybbW,allB,ybbY,glxK"
"546" "gcvA" 2941650 2942567 "reverse" 1 "gcvA"
"547" "gcvB" 2942696 2942900 "forward" 1 "gcvB"
"548" "gcvR" 2599906 2600478 "forward" 1 "gcvR"
"549" "gcvTHP" 3046168 3050667 "reverse" 3 "gcvT,gcvH,gcvP"
"550" "gdhA" 1842371 1843714 "forward" 1 "gdhA"
"551" "gfcA" 1049439 1049744 "reverse" 1 "gfcA"
"552" "gfcBCD" 1045849 1049332 "reverse" 3 "gfcB,gfcC,gfcD"
"553" "gfcE-etp-etk" 1042030 1045803 "reverse" 3 "gfcE,etp,etk"
"554" "ggt" 3585081 3586823 "reverse" 1 "ggt"
"555" "ghoST" 4352584 4353081 "forward" 2 "ghoS,ghoT"
"556" "ghrA" 1097886 1098824 "forward" 1 "ghrA"
"557" "ghrB" 3717310 3718284 "forward" 1 "ghrB"
"558" "ghxP" 4278479 4279828 "forward" 1 "ghxP"
"559" "glcC" 3128272 3129036 "forward" 1 "glcC"
"560" "glcDEFGBA" 3119597 3128021 "reverse" 6 "glcD,glcE,glcF,glcG,glcB,glcA"
"561" "glf-wbbH" 2106060 2108329 "reverse" 2 "glf,wbbH"
"562" "glgBXCAP" 3564134 3573502 "reverse" 5 "glgB,glgX,glgC,glgA,glgP"
"563" "glgS" 3191739 3191939 "reverse" 1 "glgS"
"564" "glk" 2508461 2509426 "reverse" 1 "glk"
"565" "glmUS" 3911839 3915200 "reverse" 2 "glmU,glmS"
"566" "glmY" 2691157 2691340 "reverse" 1 "glmY"
"567" "glmZ" 3986432 3986603 "forward" 1 "glmZ"
"568" "glnALG" 4053869 4058034 "reverse" 3 "glnA,glnL,glnG"
"569" "glnHPQ" 845741 848004 "reverse" 3 "glnH,glnP,glnQ"
"570" "glnK-amtB" 472598 474252 "forward" 2 "glnK,amtB"
"571" "glnS" 706093 707757 "forward" 1 "glnS"
"572" "gloB" 234027 234782 "reverse" 1 "gloB"
"573" "glpABC" 2352647 2356711 "forward" 3 "glpA,glpB,glpC"
"574" "glpD" 3562013 3563518 "forward" 1 "glpD"
"575" "glpEGR" 3559848 3561823 "reverse" 3 "glpE,glpG,glpR"
"576" "glpFKX" 4114569 4118090 "reverse" 3 "glpF,glpK,glpX"
"577" "glpTQ" 2349935 2352374 "reverse" 2 "glpT,glpQ"
"578" "glrK" 2689671 2691098 "reverse" 1 "glrK"
"579" "glrR-glnB" 2687070 2688803 "reverse" 2 "glrR,glnB"
"580" "gltA" 753185 754468 "reverse" 1 "gltA"
"581" "gltBDF" 3354725 3361940 "forward" 3 "gltB,gltD,gltF"
"582" "gltI-sroC-gltJKL" 684530 687747 "reverse" 5 "gltI,sroC,gltJ,gltK,gltL"
"583" "gltP" 4294481 4295794 "forward" 1 "gltP"
"584" "gltS" 3827460 3828665 "reverse" 1 "gltS"
"585" "gltX" 2519257 2520672 "reverse" 1 "gltX"
"586" "glvCBG-ysdC" 3861173 3863603 "reverse" 4 "glvC,glvB,glvG,ysdC"
"587" "glyA" 2684254 2685507 "reverse" 1 "glyA"
"588" "glyQS" 3722328 3725318 "reverse" 2 "glyQ,glyS"
"589" "glyU" 2998984 2999057 "reverse" 1 "glyU"
"590" "glyVXY" 4392360 4392658 "forward" 3 "glyV,glyX,glyY"
"591" "glyW-cysT-leuZ-3'ETS<sup><i>leuZ</i></sup>" 1991748 1992117 "reverse" 4 "glyW,cysT,leuZ,3'ETS<sup><i>leuZ</i></sup>"
"592" "gmhB" 222833 223408 "forward" 1 "gmhB"
"593" "gmk" 3821428 3822051 "forward" 1 "gmk"
"594" "gnd" 2099862 2101268 "reverse" 1 "gnd"
"595" "gnsB" 1637609 1637782 "reverse" 1 "gnsB"
"596" "gntP" 4549953 4551296 "reverse" 1 "gntP"
"597" "gntRKU" 3575721 3578726 "reverse" 3 "gntR,gntK,gntU"
"598" "gntT" 3546559 3547875 "forward" 1 "gntT"
"599" "gntX-nfuA" 3544882 3546199 "forward" 2 "gntX,nfuA"
"600" "gor" 3646299 3647651 "forward" 1 "gor"
"601" "gpmA" 786843 787595 "reverse" 1 "gpmA"
"602" "gpmM-envC-yibQ" 3785260 3789060 "forward" 3 "gpmM,envC,yibQ"
"603" "gpp" 3962745 3964229 "reverse" 1 "gpp"
"604" "gpt" 255977 256435 "forward" 1 "gpt"
"605" "grcA" 2716066 2716449 "reverse" 1 "grcA"
"606" "greA" 3328239 3328715 "reverse" 1 "greA"
"607" "greB" 3536812 3537288 "forward" 1 "greB"
"608" "groSL" 4370688 4372671 "forward" 2 "groS,groL"
"609" "grpE" 2750115 2750708 "reverse" 1 "grpE"
"610" "grxA" 890496 890753 "reverse" 1 "grxA"
"611" "grxB" 1123407 1124054 "reverse" 1 "grxB"
"612" "grxD" 1733754 1734101 "reverse" 1 "grxD"
"613" "gshA" 2814883 2816439 "reverse" 1 "gshA"
"614" "gsk" 500125 501429 "forward" 1 "gsk"
"615" "gspAB" 3453508 3455398 "reverse" 2 "gspA,gspB"
"616" "gspCDEFGHIJKLMO" 3455578 3466220 "forward" 12 "gspC,gspD,gspE,gspF,gspG,gspH,gspI,gspJ,gspK,gspL,gspM,gspO"
"617" "gss" 3136663 3138522 "reverse" 1 "gss"
"618" "gstA" 1714377 1714982 "forward" 1 "gstA"
"619" "gstB" 879854 880480 "reverse" 1 "gstB"
"620" "guaBA" 2630958 2634070 "reverse" 2 "guaB,guaA"
"621" "guaC" 113444 114487 "forward" 1 "guaC"
"622" "gudPXD" 2918045 2922100 "reverse" 3 "gudP,gudX,gudD"
"623" "gyrA" 2336793 2339420 "reverse" 1 "gyrA"
"624" "gyrB" 3877705 3880119 "reverse" 1 "gyrB"
"625" "hcaEFCBD" 2669032 2673249 "forward" 5 "hcaE,hcaF,hcaC,hcaB,hcaD"
"626" "hcaR" 2668006 2668896 "reverse" 1 "hcaR"
"627" "hcaT" 2666707 2667846 "reverse" 1 "hcaT"
"628" "hchA" 2035835 2036686 "forward" 1 "hchA"
"629" "hcp-hcr" 911182 913814 "reverse" 2 "hcp,hcr"
"630" "hda" 2618075 2618776 "reverse" 1 "hda"
"631" "hdeAB-yhiD" 3655255 3656740 "reverse" 3 "hdeA,hdeB,yhiD"
"632" "hdeD" 3656995 3657567 "forward" 1 "hdeD"
"633" "hdfR" 3947128 3947967 "reverse" 1 "hdfR"
"634" "hdhA" 1697273 1698040 "reverse" 1 "hdhA"
"635" "helD" 1024471 1026525 "forward" 1 "helD"
"636" "hemA-prfA-prmC" 1263714 1266927 "forward" 3 "hemA,prfA,prmC"
"637" "hemB" 388753 389727 "reverse" 1 "hemB"
"638" "hemCDXY" 3986686 3990766 "reverse" 4 "hemC,hemD,hemX,hemY"
"639" "hemH" 498055 499017 "forward" 1 "hemH"
"640" "hemL" 173602 174882 "reverse" 1 "hemL"
"641" "hemN" 4052045 4053418 "forward" 1 "hemN"
"642" "hflD-purB" 1190616 1192631 "reverse" 2 "hflD,purB"
"643" "hicAB" 1509286 1509924 "forward" 2 "hicA,hicB"
"644" "higBA" 3233728 3234455 "reverse" 2 "higB,higA"
"645" "hinT-ycfL-lpoB-thiK-nagZ-ycfP" 1161885 1165685 "forward" 6 "hinT,ycfL,lpoB,thiK,nagZ,ycfP"
"646" "hipBA" 1590854 1592442 "reverse" 2 "hipB,hipA"
"647" "hisLGDCBHAFI" 2089996 2097225 "forward" 9 "hisL,hisG,hisD,hisC,hisB,hisH,hisA,hisF,hisI"
"648" "hisS" 2639301 2640575 "reverse" 1 "hisS"
"649" "hlyE" 1229483 1230394 "reverse" 1 "hlyE"
"650" "hmp" 2685835 2687025 "forward" 1 "hmp"
"651" "hns" 1292509 1292922 "reverse" 1 "hns"
"652" "hofMNOP" 3520615 3522751 "reverse" 4 "hofM,hofN,hofO,hofP"
"653" "hofQ" 3519465 3520703 "reverse" 1 "hofQ"
"654" "hokA" 3720448 3720600 "reverse" 1 "hokA"
"655" "hokB" 1491922 1492071 "reverse" 1 "hokB"
"656" "hokE" 607836 607988 "forward" 1 "hokE"
"657" "holC-valS" 4480982 4484280 "reverse" 2 "holC,valS"
"658" "holD-rimI-yjjG" 4607803 4609323 "forward" 3 "holD,rimI,yjjG"
"659" "holE" 1925108 1925338 "forward" 1 "holE"
"660" "hpt" 141431 141967 "forward" 1 "hpt"
"661" "hrpA" 1483061 1486963 "forward" 1 "hrpA"
"662" "hrpB" 162105 164534 "forward" 1 "hrpB"
"663" "hscBA-fdx-iscX" 2656536 2659467 "reverse" 4 "hscB,hscA,fdx,iscX"
"664" "hscC" 681723 683393 "reverse" 1 "hscC"
"665" "hsdRMS" 4580068 4586761 "reverse" 3 "hsdR,hsdM,hsdS"
"666" "hslJ" 1441321 1441743 "reverse" 1 "hslJ"
"667" "hslVU" 4120416 4122287 "reverse" 2 "hslV,hslU"
"668" "hspQ" 1028404 1028721 "reverse" 1 "hspQ"
"669" "htgA" 10830 11315 "forward" 1 "htgA"
"670" "htpG" 495120 496994 "forward" 1 "htpG"
"671" "htpX" 1911695 1912576 "reverse" 1 "htpX"
"672" "htrL" 3792826 3793683 "reverse" 1 "htrL"
"673" "hupA" 4200281 4200553 "forward" 1 "hupA"
"674" "hupB" 461451 461723 "forward" 1 "hupB"
"675" "hyaABCDEF" 1032139 1037606 "forward" 6 "hyaA,hyaB,hyaC,hyaD,hyaE,hyaF"
"676" "hybOABCDEFG" 3139716 3146261 "reverse" 8 "hybO,hybA,hybB,hybC,hybD,hybE,hybF,hybG"
"677" "hycABCDEFGHI" 2842573 2850435 "reverse" 9 "hycA,hycB,hycC,hycD,hycE,hycF,hycG,hycH,hycI"
"678" "hydN-hypF" 2835173 2838105 "reverse" 2 "hydN,hypF"
"679" "hyfABCDEFGHIJR-focB" 2601201 2614782 "forward" 12 "hyfA,hyfB,hyfC,hyfD,hyfE,hyfF,hyfG,hyfH,hyfI,hyfJ,hyfR,focB"
"680" "hypABCDE-fhlA" 2850647 2856416 "forward" 6 "hypA,hypB,hypC,hypD,hypE,fhlA"
"681" "hypT" 4557378 4558289 "reverse" 1 "hypT"
"682" "hyuA" 3010028 3011413 "forward" 1 "hyuA"
"683" "iaaA-gsiABCD" 866568 872801 "forward" 5 "iaaA,gsiA,gsiB,gsiC,gsiD"
"684" "iap" 2876581 2877618 "forward" 1 "iap"
"685" "ibaG-murA" 3335235 3336803 "reverse" 2 "ibaG,murA"
"686" "ibpAB" 3866469 3867422 "reverse" 2 "ibpA,ibpB"
"687" "icd" 1195123 1196373 "forward" 1 "icd"
"688" "icdC" 1211425 1211577 "forward" 1 "icdC"
"689" "iclR" 4222804 4223628 "reverse" 1 "iclR"
"690" "idi" 3033065 3033613 "forward" 1 "idi"
"691" "idnDOTR" 4490141 4494406 "reverse" 4 "idnD,idnO,idnT,idnR"
"692" "idnK" 4494623 4495186 "forward" 1 "idnK"
"693" "ileX" 3215598 3215673 "forward" 1 "ileX"
"694" "ileY" 2785762 2785837 "reverse" 1 "ileY"
"695" "ilvC" 3957970 3959445 "forward" 1 "ilvC"
"696" "ilvIH" 85630 87848 "forward" 2 "ilvI,ilvH"
"697" "ilvLXG_1G_2MEDA" 3950322 3956875 "forward" 8 "ilvL,ilvX,ilvG_1,ilvG_2,ilvM,ilvE,ilvD,ilvA"
"698" "ilvY" 3956927 3957820 "reverse" 1 "ilvY"
"699" "inaA" 2348822 2349472 "reverse" 1 "inaA"
"700" "infA" 926225 926443 "reverse" 1 "infA"
"701" "insA-4AB-4B-4" 1049833 1050530 "forward" 3 "insA-4,insAB-4,insB-4"
"702" "insA-7" 4518527 4518802 "forward" 1 "insA-7"
"703" "insAB-1A-1B-1" 19811 20508 "reverse" 3 "insA-1,insAB-1,insB-1"
"704" "insAB-2A-2B-2-afuBC" 277756 279875 "reverse" 5 "insA-2,insAB-2,insB-2,afuB,afuC"
"705" "insAB-3A-3B-3" 290649 291346 "reverse" 3 "insA-3,insAB-3,insB-3"
"706" "insAB-5A-5B-5" 1978518 1979215 "reverse" 3 "insA-5,insAB-5,insB-5"
"707" "insB-7_1B-7_2" 4518721 4519224 "forward" 2 "insB-7_1,insB-7_2"
"708" "insC-1CD-1D-1" 381306 382579 "forward" 3 "insC-1,insCD-1,insD-1"
"709" "insC-5CD-5D-5-yqiGHI" 3186142 3191696 "forward" 6 "insC-5,insCD-5,insD-5,yqiG,yqiH,yqiI"
"710" "insC-6CD-6D-6" 4498227 4499500 "forward" 3 "insC-6,insCD-6,insD-6"
"711" "insCD-2C-2D-2" 1467921 1469194 "reverse" 3 "insC-2,insCD-2,insD-2"
"712" "insCD-3C-3D-3" 2068952 2070225 "reverse" 3 "insC-3,insCD-3,insD-3"
"713" "insCD-4C-4D-4-ygeONM" 2995314 2997645 "reverse" 6 "insC-4,insCD-4,insD-4,ygeO,ygeN,ygeM"
"714" "insE-3EF-3F-3" 566833 568004 "forward" 3 "insE-3,insEF-3,insF-3"
"715" "insE-5EF-5F-5" 2170227 2171398 "forward" 3 "insE-5,insEF-5,insF-5"
"716" "insEF-2E-2F-2" 391739 392910 "reverse" 3 "insE-2,insEF-2,insF-2"
"717" "insEF-4E-4F-4" 1094275 1095446 "reverse" 3 "insE-4,insEF-4,insF-4"
"718" "insG" 4502103 4503431 "reverse" 1 "insG"
"719" "insH-1" 274101 275117 "reverse" 1 "insH-1"
"720" "insH-10" 3365702 3366718 "reverse" 1 "insH-10"
"721" "insH-11" 3652182 3653198 "reverse" 1 "insH-11"
"722" "insH-2" 574737 575753 "reverse" 1 "insH-2"
"723" "insH-3" 687997 689013 "reverse" 1 "insH-3"
"724" "insH-4" 1396076 1397092 "forward" 1 "insH-4"
"725" "insH-5" 1427746 1428726 "reverse" 1 "insH-5"
"726" "insH-6" 2066305 2067321 "reverse" 1 "insH-6"
"727" "insH-7" 2101895 2102911 "reverse" 1 "insH-7"
"728" "insH-8" 2289065 2290081 "reverse" 1 "insH-8"
"729" "insH-9" 3130178 3131194 "forward" 1 "insH-9"
"730" "insI-2" 1469358 1470509 "forward" 1 "insI-2"
"731" "insJ" 3720680 3721201 "forward" 1 "insJ"
"732" "insK" 3721154 3722049 "forward" 1 "insK"
"733" "insL-1" 15445 16557 "forward" 1 "insL-1"
"734" "insL-2" 608065 609177 "forward" 1 "insL-2"
"735" "insL-3" 2514331 2515443 "forward" 1 "insL-3"
"736" "insMI-3" 4507466 4508942 "reverse" 2 "insM,insI-3"
"737" "insN-1I-1O-1" 270242 272255 "forward" 3 "insN-1,insI-1,insO-1"
"738" "insN-2" 4507197 4507463 "forward" 1 "insN-2"
"739" "insO-2-yjhWV" 4508958 4510133 "forward" 3 "insO-2,yjhW,yjhV"
"740" "intA" 2756159 2757400 "forward" 1 "intA"
"741" "intB" 4496750 4497940 "forward" 1 "intB"
"742" "intD" 564815 565978 "reverse" 1 "intD"
"743" "intF" 295696 297096 "reverse" 1 "intF"
"744" "intG" 2012502 2012780 "forward" 1 "intG"
"745" "intS" 2466545 2467702 "forward" 1 "intS"
"746" "intZ" 2558858 2560066 "forward" 1 "intZ"
"747" "iraD" 4556993 4557385 "forward" 1 "iraD"
"748" "iraM" 1211680 1212003 "reverse" 1 "iraM"
"749" "iraP" 401386 401646 "forward" 1 "iraP"
"750" "iscRSUA" 2659563 2662131 "reverse" 4 "iscR,iscS,iscU,iscA"
"751" "ispB" 3333710 3334681 "forward" 1 "ispB"
"752" "ispDF" 2871301 2872490 "reverse" 2 "ispD,ispF"
"753" "ispG-sroE" 2640595 2641804 "reverse" 2 "ispG,sroE"
"754" "ispU" 194903 195664 "forward" 1 "ispU"
"755" "isrB" 1987839 1987998 "reverse" 1 "isrB"
"756" "isrC-flu" 2071317 2074658 "forward" 2 "isrC,flu"
"757" "istR-1" 3853118 3853192 "reverse" 1 "istR-1"
"758" "istR-2" 3853118 3853257 "reverse" 1 "istR-2"
"759" "ivbL-ilvBN-uhpABC" 3847305 3852988 "reverse" 6 "ivbL,ilvB,ilvN,uhpA,uhpB,uhpC"
"760" "ivy" 240343 240816 "forward" 1 "ivy"
"761" "katE" 1813867 1816128 "forward" 1 "katE"
"762" "katG" 4133835 4136015 "forward" 1 "katG"
"763" "kbaZ-agaVWA" 3278914 3281625 "forward" 4 "kbaZ,agaV,agaW,agaA"
"764" "kbl-tdh" 3790320 3792551 "reverse" 2 "kbl,tdh"
"765" "kch" 1309016 1310269 "reverse" 1 "kch"
"766" "kdgK" 3679419 3680348 "forward" 1 "kdgK"
"767" "kdgR" 1909308 1910099 "reverse" 1 "kdgR"
"768" "kdgT" 4101690 4102673 "forward" 1 "kdgT"
"769" "kdpDE" 721056 724414 "reverse" 2 "kdpD,kdpE"
"770" "kdpFABC" 724407 728821 "reverse" 4 "kdpF,kdpA,kdpB,kdpC"
"771" "kduD" 2982497 2983258 "reverse" 1 "kduD"
"772" "kduI" 2983288 2984124 "reverse" 1 "kduI"
"773" "kefFC" 47246 49631 "forward" 2 "kefF,kefC"
"774" "kefGB-yheV" 3478592 3481161 "reverse" 3 "kefG,kefB,yheV"
"775" "kgtP" 2724448 2725746 "reverse" 1 "kgtP"
"776" "kilR-ydaE" 1417838 1418229 "reverse" 2 "kilR,ydaE"
"777" "kptA" 4560930 4561484 "forward" 1 "kptA"
"778" "kup" 3931316 3933184 "forward" 1 "kup"
"779" "lacZYA" 361249 366305 "reverse" 3 "lacZ,lacY,lacA"
"780" "lafU" 250072 250827 "forward" 1 "lafU"
"781" "lapAB-pyrF-yciH" 1340243 1342984 "forward" 4 "lapA,lapB,pyrF,yciH"
"782" "ldcA" 1242166 1243080 "reverse" 1 "ldcA"
"783" "ldcC" 209679 211820 "forward" 1 "ldcC"
"784" "ldhA" 1441854 1442843 "reverse" 1 "ldhA"
"785" "ldrA" 1269168 1269275 "reverse" 1 "ldrA"
"786" "ldrB" 1269703 1269810 "reverse" 1 "ldrB"
